Comment,Designator,Footprint,LCSC Part #
12MHz,Y1,FA238,
3k3,R5 R6,R0402_NIBE,C3969551
10k,R1 R4 R7,R0402_NIBE,C2838653
10u,C10,C0805,C882505
16p,C1 C5,C0402_NIBE,C161307
100n,C2 C3 C4 C6 C7 C8 C9 C11,C0402_NIBE,C327273
470R,R3 R8,R0402_NIBE,C606172
820R,R2,R0402_NIBE,C227421
CONN_SMD_67P-P0.5-V_NASB0-S6701-TS50,X1,CONN_SMD_67P-P0.5-V_NASB0-S6701-TS50,C367024
LED_YELLOW,STATUS,R0603,C511086
M.2_MKEY_FINGERS,X2,M.2_MKEY_FINGERS,
MOUNTING_3M_3.2MM,M1,MOUNTING_3M_3.2MM,
PIC24FJ256GL410,IC1,PIC24FJ256GL410,C1015827
XR3072XID-F,IC2,SOIC8,
