Comment,Designator,Footprint,LCSC Part #
2R 1W,R3,R2512,C105100
4u7 100V,C3,C1210,C385987
10u,C13 C14,C0603,C4555498603
10u,L1,L4532P,C99792
10u 50V,C5 C6 C7 C8,C1210,C412619
22k,R5,R0402_NIBE,C416374
47k,R4 R7,R0402_NIBE,C4076535
100n 50V,C4 C9 C11,C0603,C2929177
100u,L2,ASPI-8040S,C187495
130k,R8,R0402_NIBE,C4028083
150n,C10  ,C0603,C913573
150n,C12,C0402_NIBE,C51554
200k,R6,R0402_NIBE,C2906866
220k,R9,R0402_NIBE,C168214
470R,R2,R0603,C23179
74404063470,L3,74404063470,C6404593
B72520T0400K062,R1,R1206,C210939
CONN_SMD_67P-P0.5-V_NASB0-S6701-TS50,X1,CONN_SMD_67P-P0.5-V_NASB0-S6701-TS50,C367024
DSS16U,D2 D3,SOD123F,C3020461
LED_GREEN,LED1,R0603,C125099
LIN_REG_ADJ_SOT223,IC1,SOT223,C108496
M.2_MKEY_FINGERS,X2,M.2_MKEY_FINGERS,na
MOUNTING_3M_3.2MM,M1,MOUNTING_3M_3.2MM,na
RS1J,D1,DO-214AC(SMA),C154794
ST1S14PHR,U1 U2,HSOP8_STM,C84130
Phoenix,X3,1751248,C89122
220u 50V,C1,5p 10d,C134649
