Designator,Mid X,Mid Y,Layer,Rotation
C1,7.7,12.1,Top,180
C3,4.7,4.6,Top,180
C4,8.1,17.8,Top,180
C5,7.1,20.2,Top,180
C6,4.1,39.5,Top,180
C7,19,15,Top,180
C8,17.4,33.7,Top,180
C9,5.7,28.6,Top,0
C10,2.3,19.4,Top,180
C11,18.6,24.3,Top,0
C12,13.3,19.4,Top,180
C13,9.2,38.4,Top,0
C14,6,43.7,Top,90
D1,18.4,11.7,Top,0
D2,2.6,32.6,Top,90
D3,14.1,27.5,Top,90
IC1,11.1,42.6,Top,270
L1,12.6,14,Top,90
L2,8,33.4,Top,90
L3,18.5,28.5,Top,90
LED1,21.45,41.43,Top,0
M1,12,0,Top,0
R1,19.7,8.9,Top,180
R2,22.35,44.73,Top,270
R3,12,5.6,Top,180
R4,1.3,28.6,Top,270
R5,2.3,21.6,Top,180
R6,2.3,20.5,Top,180
R7,13.3,22.6,Top,180
R8,13.3,20.5,Top,0
R9,13.3,18.3,Top,0
U1,5.7,25,Top,0
U2,18.7,20.9,Top,0
X1,12,51.27,Top,180
X2,12,60,Top,0
X3,20,3.9,Top,0
