Comment,Designator,Footprint,LCSC
micro_USBFemale,USB1,MICRO-USB-SMD_5P-P0.65-H-F_C10418,C10418
LTST-C191KRKT,"LED1,LED2",LED0603-RD,C125099
GT-USB-7010ASV,U1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,C2988369
SMAJ5_0CA_C353441,U3,SMA_L4.3-W2.5-LS5.0-BI,C353441
NASB0-S6701-TS50,CN1,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,C367024
A_F_LCPTrue_color1_2pillar_C42605,USB2,USB-A-SMD_USB-M-32,C42605
LM317_C77880,Q1,TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,C77880
BSMD0603-050-6V,F1,F0603,C883095
MountingHole,H1,MountingHole_3.2mm_M3_Pad_TopBottom,
1n,C3,C_0603_1608Metric,
470R,R3,R_0603_1608Metric,
1n,C4,C_0603_1608Metric,
~,U2,NGFF_M,
470R,R4,R_0603_1608Metric,
470R,R1,R_0603_1608Metric,
470R,R2,R_0603_1608Metric,
1n,C5,C_0603_1608Metric,
100n,C2,C_0603_1608Metric,
10u,C1,C_0603_1608Metric,
