Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,112.8,-106.675,-90.0,top
C2,100n,C_0603_1608Metric,114.4,-106.7,-90.0,top
C3,1n,C_0603_1608Metric,116.0,-106.675,-90.0,top
C4,1n,C_0603_1608Metric,118.8,-118.7,-90.0,top
C5,1n,C_0603_1608Metric,120.5,-118.7,90.0,top
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,112.499936,-98.625044,180.0,top
F1,BSMD0603-050-6V,F0603,110.4,-109.8,0.0,top
LED1,LTST-C191KRKT,LED0603-RD,121.494628,-112.349035,90.0,top
LED2,LTST-C191KRKT,LED0603-RD,117.794628,-112.449035,90.0,top
Q1,LM317_C77880,TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,121.093396,-126.225006,-90.0,top
R1,470R,R_0603_1608Metric,118.5,-108.5,180.0,top
R2,470R,R_0603_1608Metric,122.075,-108.65,180.0,top
R3,470R,R_0603_1608Metric,123.0,-119.4,180.0,top
R4,470R,R_0603_1608Metric,123.0,-117.8,180.0,top
U1,GT-USB-7010ASV,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,104.25,-112.0,-90.0,top
U2,~,NGFF_M,112.5,-91.7875,180.0,top
U3,SMAJ5_0CA_C353441,SMA_L4.3-W2.5-LS5.0-BI,113.900025,-112.000102,90.0,top
USB1,micro_USBFemale,MICRO-USB-SMD_5P-P0.65-H-F_C10418,103.436449,-143.100051,-90.0,top
USB2,A_F_LCPTrue_color1_2pillar_C42605,USB-A-SMD_USB-M-32,108.25,-127.65,-90.0,top
