Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,112.4999,-98.625073,180.0,top
LED1,LTST-C191KRKT,LED0603-RD,121.999568,-107.680372,180.0,top
LED2,LTST-C191KRKT,LED0603-RD,121.999568,-111.480372,180.0,top
R1,470R,R_0603_1608Metric,122.85,-105.175,-90.0,top
R2,470R,R_0603_1608Metric,121.2,-105.2,-90.0,top
U1,~,NGFF_M,112.5,-91.7875,180.0,top
X1,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,106.15666,-140.7062,0.0,top
X2,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,118.83666,-140.7001,0.0,top
X3,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,106.16666,-125.7061,0.0,top
X4,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,118.83666,-125.4999,0.0,top
X5,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,106.14666,-111.0999,0.0,top
