Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,112.4999,-98.625073,180.0,top
LED1,LTST-C191KRKT,LED0603-RD,121.721568,-108.326972,180.0,top
LED2,LTST-C191KRKT,LED0603-RD,121.721568,-112.576972,180.0,top
R1,470R,R_0603_1608Metric,117.7725,-112.0,-90.0,top
R2,470R,R_0603_1608Metric,118.0225,-107.5,-90.0,top
U2,~,NGFF_M,112.5,-91.7875,180.0,top
X1,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,106.13666,-140.6999,0.0,top
X2,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,118.84666,-140.7,0.0,top
X3,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,106.156668,-125.799898,0.0,top
X4,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,118.856668,-125.799898,0.0,top
X5,PZ254-2-04-S,HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,106.156668,-111.099898,0.0,top
