Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,102.0,-120.55,0.0,bottom
C2,100n,C_0402_1005Metric,102.0,-123.6,0.0,bottom
C3,100n,C_0402_1005Metric,102.0,-126.6,0.0,bottom
C4,100n,C_0402_1005Metric,102.0,-129.6,0.0,bottom
C5,100n,C_0402_1005Metric,102.0,-132.6,0.0,bottom
C6,100n,C_0402_1005Metric,102.0,-135.6,0.0,bottom
C7,100n,C_0402_1005Metric,102.0,-138.6,0.0,bottom
C8,100n,C_0402_1005Metric,102.0,-141.6,0.0,bottom
C9,100n,C_0402_1005Metric,105.0,-120.55,0.0,bottom
C10,100n,C_0402_1005Metric,105.0,-123.6,0.0,bottom
C11,100n,C_0402_1005Metric,105.0,-126.6,0.0,bottom
C12,100n,C_0402_1005Metric,104.9552,-129.6,0.0,bottom
C13,100n,C_0402_1005Metric,105.0,-132.6,0.0,bottom
C14,100n,C_0402_1005Metric,104.9552,-135.6,0.0,bottom
C15,100n,C_0402_1005Metric,105.0,-138.6,0.0,bottom
C16,100n,C_0402_1005Metric,105.0,-141.6,0.0,bottom
C17,100n,C_0402_1005Metric,108.0,-120.55,0.0,bottom
C18,100n,C_0402_1005Metric,108.0,-123.6,0.0,bottom
C19,100n,C_0402_1005Metric,108.0,-126.6,0.0,bottom
C20,100n,C_0402_1005Metric,108.0,-129.6,0.0,bottom
C21,100n,C_0402_1005Metric,108.0,-132.6,0.0,bottom
C22,100n,C_0402_1005Metric,108.0,-135.6,0.0,bottom
C23,100n,C_0402_1005Metric,108.0852,-138.6,0.0,bottom
C24,100n,C_0402_1005Metric,108.0852,-141.6,0.0,bottom
C25,100n,C_0402_1005Metric,111.0,-138.75,180.0,bottom
C26,100n,C_0402_1005Metric,111.06,-135.6,180.0,bottom
C27,100n,C_0402_1005Metric,111.06,-132.6,180.0,bottom
C28,100n,C_0402_1005Metric,111.06,-129.7,180.0,bottom
C29,100n,C_0402_1005Metric,111.16,-126.6,180.0,bottom
C30,100n,C_0402_1005Metric,111.13,-123.6,180.0,bottom
C31,100n,C_0402_1005Metric,111.0,-120.6,180.0,bottom
C32,100n,C_0402_1005Metric,114.0,-138.57,180.0,bottom
C33,100n,C_0402_1005Metric,113.93,-135.6,180.0,bottom
C34,100n,C_0402_1005Metric,113.93,-132.6,180.0,bottom
C35,100n,C_0402_1005Metric,113.93,-129.7,180.0,bottom
C36,100n,C_0402_1005Metric,114.03,-126.6,180.0,bottom
C37,100n,C_0402_1005Metric,114.0,-123.6,180.0,bottom
C38,100n,C_0402_1005Metric,113.9,-120.6,180.0,bottom
C39,100n,C_0402_1005Metric,116.95,-138.57,180.0,bottom
C40,100n,C_0402_1005Metric,116.9,-135.6,180.0,bottom
C41,100n,C_0402_1005Metric,116.8,-132.6,180.0,bottom
C42,100n,C_0402_1005Metric,116.8,-129.7,180.0,bottom
C43,100n,C_0402_1005Metric,116.9,-126.6,180.0,bottom
C44,100n,C_0402_1005Metric,116.87,-123.6,180.0,bottom
C45,100n,C_0402_1005Metric,117.0,-120.6,180.0,bottom
C46,100n,C_0402_1005Metric,120.0,-138.6,180.0,bottom
C47,100n,C_0402_1005Metric,120.03,-135.5,180.0,bottom
C48,100n,C_0402_1005Metric,119.92,-132.6,180.0,bottom
C49,100n,C_0402_1005Metric,120.03,-129.7,180.0,bottom
C50,100n,C_0402_1005Metric,120.03,-126.6,180.0,bottom
C51,100n,C_0402_1005Metric,120.03,-123.6,180.0,bottom
C53,100n,C_0402_1005Metric,119.9,-120.6,180.0,bottom
C54,100n,C_0402_1005Metric,122.9,-138.6,180.0,bottom
C55,100n,C_0402_1005Metric,122.9,-135.5,180.0,bottom
C57,100n,C_0402_1005Metric,123.1,-132.6,180.0,bottom
C58,100n,C_0402_1005Metric,122.9,-129.7,180.0,bottom
C59,100n,C_0402_1005Metric,122.9,-126.6,180.0,bottom
C61,100n,C_0402_1005Metric,122.9,-123.6,180.0,bottom
C62,100n,C_0402_1005Metric,123.0,-120.6,180.0,bottom
C63,100n,C_0402_1005Metric,120.0,-141.7,180.0,bottom
C65,100n,C_0402_1005Metric,111.0,-141.6,180.0,bottom
C66,100n,C_0402_1005Metric,122.9,-141.6,180.0,bottom
C69,100n,C_0402_1005Metric,117.0,-141.6,180.0,bottom
C70,100n,C_0402_1005Metric,114.0,-141.6,180.0,bottom
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,112.4999,-98.625073,180.0,top
F1,TLC-PSMD010,F0805,119.4,-105.2,180.0,top
LED1,LTST-C191KRKT,LED0603-RD,121.999568,-107.680372,180.0,top
LED2,LTST-C191KRKT,LED0603-RD,121.999568,-111.480372,180.0,top
LED3,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-121.530981,90.0,top
LED4,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-124.530981,90.0,top
LED5,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-127.530981,90.0,top
LED6,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-130.530981,90.0,top
LED7,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-133.530981,90.0,top
LED8,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-136.530981,90.0,top
LED9,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-139.530981,90.0,top
LED10,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.949505,-142.530981,90.0,top
LED11,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-121.530981,90.0,top
LED12,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-124.530981,90.0,top
LED13,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-127.530981,90.0,top
LED14,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-130.530981,90.0,top
LED15,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-133.530981,90.0,top
LED16,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-136.530981,90.0,top
LED17,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-139.530981,90.0,top
LED18,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,104.949505,-142.530981,90.0,top
LED19,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-121.530981,90.0,top
LED20,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-124.530981,90.0,top
LED21,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-127.530981,90.0,top
LED22,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-130.530981,90.0,top
LED23,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-133.530981,90.0,top
LED24,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-136.530981,90.0,top
LED25,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-139.530981,90.0,top
LED26,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,107.949505,-142.530981,90.0,top
LED27,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.949505,-121.530981,90.0,top
LED28,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.949505,-139.530981,90.0,top
LED29,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,113.949505,-133.530981,90.0,top
LED30,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,116.949505,-127.530981,90.0,top
LED31,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.949505,-124.530981,90.0,top
LED32,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.949505,-142.530981,90.0,top
LED33,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,113.949505,-136.530981,90.0,top
LED34,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,116.949505,-130.530981,90.0,top
LED35,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.949505,-127.530981,90.0,top
LED36,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,113.949505,-121.530981,90.0,top
LED37,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,113.949505,-139.530981,90.0,top
LED38,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,116.949505,-133.530981,90.0,top
LED39,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.949505,-130.530981,90.0,top
LED40,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,113.949505,-124.530981,90.0,top
LED41,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,113.949505,-142.530981,90.0,top
LED42,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,116.949505,-136.530981,90.0,top
