Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0603_1608Metric,146.4,-89.8,0.0,top
C2,100n,C_0603_1608Metric,146.4,-88.2,0.0,top
C3,1u,C_0603_1608Metric,145.8,-92.4,180.0,top
C4,0.1u,C_0603_1608Metric,145.825,-106.3,180.0,top
C5,0.1u,C_0603_1608Metric,148.0,-111.825,90.0,top
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,155.000064,-122.274956,0.0,top
LED1,LTST-C191KRKT,LED0603-RD,163.194628,-113.849568,90.0,top
R1,10k,R_0603_1608Metric,145.8,-94.0,0.0,top
R2,1k,R_0603_1608Metric,165.2,-113.825,90.0,top
SW1,K2-1107ST-A4SW-06,KEY-SMD_L6.2-W3.6-LS8.0,145.00005,-100.4,90.0,top
SW2,K2-1107ST-A4SW-06,KEY-SMD_L6.2-W3.6-LS8.0,145.00005,-112.0,90.0,top
U1,ESP32-S3-WROOM-1-N8,WIFIM-SMD_ESP32-S3-WROOM-1-N8,157.250209,-96.880842,0.0,top
U2,~,NGFF_M,155.0,-128.2125,0.0,top
